date,volume,open,high,low,close
105/08/18,144322.00,31.30,31.40,31.10,31.10
105/08/19,176689.00,31.10,31.50,30.75,30.95
105/08/22,209632.00,31.25,31.25,30.40,30.60
105/08/23,91290.00,30.55,30.85,30.55,30.70
105/08/24,98992.00,31.00,31.00,30.55,30.60
105/08/25,106929.00,30.90,30.90,30.50,30.50
105/08/26,188906.00,30.85,30.90,30.60,30.70
105/08/29,277975.00,30.60,30.95,30.10,30.30
105/08/30,243233.00,30.15,30.45,30.10,30.40
105/08/31,252311.00,30.20,30.80,30.20,30.75
105/09/01,212261.00,30.75,30.75,30.20,30.30
105/09/02,285620.00,30.25,30.50,30.05,30.50
105/09/05,337933.00,30.60,30.70,30.15,30.15
105/09/06,193799.00,30.60,30.60,30.35,30.40
105/09/07,328592.00,30.50,30.65,30.45,30.55
105/09/08,459697.00,30.65,31.40,30.50,31.35
105/09/09,470058.00,31.35,31.35,30.50,31.00
105/09/10,150000.00,30.90,30.95,30.60,30.70
105/09/12,277453.00,30.70,31.30,30.50,30.55
105/09/13,190622.00,30.75,31.00,30.55,30.55
105/09/14,153000.00,30.55,30.75,30.40,30.55
105/09/19,170956.00,30.60,30.85,30.60,30.70
105/09/20,160754.00,30.70,30.90,30.55,30.55
105/09/21,359553.00,30.55,32.00,30.50,31.50
105/09/22,192439.00,31.50,31.70,30.90,31.20
105/09/23,370185.00,31.40,31.45,30.70,31.10
105/09/26,282222.00,31.00,31.00,30.60,30.70
105/09/29,122765.00,30.70,30.80,30.65,30.65
105/09/30,311556.00,30.85,30.85,30.30,30.40
105/10/03,235177.00,30.50,30.55,30.20,30.20
105/10/04,342794.00,30.20,30.45,30.10,30.25
105/10/05,272356.00,30.15,30.25,30.10,30.20
105/10/06,257800.00,30.20,30.40,30.20,30.20
105/10/07,243762.00,30.25,30.40,30.05,30.05
105/10/11,389100.00,30.10,30.15,29.20,29.65
105/10/12,145109.00,29.65,30.00,29.60,29.70
105/10/13,120072.00,29.80,29.90,29.70,29.70
105/10/14,146311.00,29.70,29.85,29.30,29.35
105/10/17,237440.00,29.35,29.35,29.10,29.20
105/10/18,96000.00,29.30,29.50,29.20,29.40
105/10/19,120100.00,29.30,29.45,29.25,29.25
105/10/20,205622.00,29.80,29.80,29.05,29.10
105/10/21,3838638.00,29.10,29.15,27.55,27.70
105/10/24,896066.00,28.20,28.60,27.95,28.00
105/10/25,597858.00,28.25,28.30,27.95,27.95
105/10/26,593768.00,27.95,28.00,27.60,27.60
105/10/27,473110.00,27.60,27.70,27.45,27.55
105/10/28,235257.00,27.75,27.80,27.50,27.65
105/10/31,340443.00,27.60,28.20,27.55,28.15
105/11/01,216026.00,28.15,28.20,28.00,28.15
105/11/02,485855.00,28.10,28.10,27.60,27.85
105/11/03,639234.00,28.00,28.00,27.20,27.20
105/11/04,421568.00,27.15,27.15,26.85,27.00
105/11/07,1561280.00,27.00,27.30,25.65,25.95
105/11/08,2068200.00,25.70,25.70,24.00,24.00
105/11/09,1167312.00,24.10,24.30,22.65,22.80
105/11/10,1156978.00,23.50,23.80,23.20,23.50
105/11/11,2058843.00,25.55,25.85,25.00,25.85
105/11/14,2302015.00,26.70,27.10,25.90,26.30
105/11/15,1993379.00,26.40,26.40,25.30,25.30
105/11/16,1487008.00,25.00,25.20,24.50,24.50
105/11/17,974601.00,24.55,25.30,24.55,24.80
105/11/18,2344087.00,25.15,26.95,25.10,25.85
105/11/21,1867391.00,26.40,27.05,26.35,26.85
105/11/22,1599243.00,27.10,27.60,26.70,26.70
105/11/23,1613199.00,27.20,27.50,27.00,27.05
105/11/24,5943075.00,27.10,27.20,27.00,27.15
