date,volume,open,high,low,close
105/10/25,123853814.00 ,13.00 ,13.15 ,12.90 ,13.00 
105/10/26,54921152.00 ,12.90 ,13.10 ,12.90 ,13.10 
105/10/27,74424899.00 ,13.20 ,13.25 ,12.80 ,12.85 
105/10/28,141955248.00 ,12.95 ,12.95 ,12.35 ,12.35 
105/10/31,124227843.00 ,12.20 ,12.25 ,11.95 ,12.00 
105/11/01,65898509.00 ,12.10 ,12.35 ,12.05 ,12.25 
105/11/02,59167960.00 ,12.05 ,12.20 ,12.00 ,12.10 
105/11/03,49221597.00 ,12.00 ,12.20 ,11.95 ,11.95 
105/11/04,51469424.00 ,12.00 ,12.15 ,11.90 ,12.00 
105/11/07,34187407.00 ,12.05 ,12.15 ,11.95 ,12.00 
105/11/08,49097687.00 ,12.20 ,12.35 ,12.15 ,12.25 
105/11/09,116508410.00 ,12.25 ,12.30 ,11.50 ,11.50 
105/11/10,71864591.00 ,11.85 ,12.10 ,11.80 ,11.80 
105/11/11,70828768.00 ,11.55 ,11.60 ,11.35 ,11.45 
105/11/14,41513754.00 ,11.35 ,11.45 ,11.25 ,11.35 
105/11/15,60034820.00 ,11.35 ,11.60 ,11.35 ,11.40 
105/11/16,46304511.00 ,11.60 ,11.65 ,11.40 ,11.40 
105/11/17,61740508.00 ,11.50 ,11.70 ,11.45 ,11.65 
105/11/18,44332237.00 ,11.65 ,11.75 ,11.50 ,11.65 
105/11/21,50043801.00 ,11.65 ,11.85 ,11.65 ,11.75 
105/11/22,53094502.00 ,11.75 ,11.85 ,11.65 ,11.75 
105/11/23,30165788.00 ,11.75 ,11.85 ,11.65 ,11.65 
105/11/24,28764552.00 ,11.65 ,11.70 ,11.50 ,11.55 
105/11/25,20741751.00 ,11.55 ,11.65 ,11.50 ,11.65 
105/11/28,33310887.00 ,11.70 ,11.70 ,11.50 ,11.50 
105/11/29,32345810.00 ,11.50 ,11.65 ,11.45 ,11.55 
105/11/30,46602314.00 ,11.55 ,11.65 ,11.45 ,11.45 
105/12/01,40053273.00 ,11.55 ,11.65 ,11.45 ,11.45 
105/12/02,39503651.00 ,11.40 ,11.40 ,11.30 ,11.35 
105/12/05,31634127.00 ,11.35 ,11.60 ,11.35 ,11.55 
