date,volume,open,high,low,close
105/09/01,6078095,60.4,60.5,60,60.1
105/09/02,2081109,60,60.7,60,60.3
105/09/05,1977887,60.5,61.3,60.5,61.2
105/09/06,4479794,61.3,61.8,61,61.8
105/09/07,6462356,62,62.5,61.9,62.4
105/09/08,3398556,62.3,62.3,61.6,62.1
105/09/09,4270854,61.5,61.6,60.9,60.9
105/09/10,1642090,60.4,61,60.4,60.9
105/09/12,6872718,60.4,60.5,60.1,60.2
105/09/13,8253245,60.3,60.5,59.8,60
105/09/14,9558178,60,60.2,59.4,59.4
105/09/19,8296340,60.3,60.8,60.1,60.6
105/09/20,4741466,60.4,61,60.2,60.7
105/09/21,4440149,60.9,61,60.3,61
105/09/22,4413289,61.2,61.4,60.7,61.4
105/09/23,9425626,61.4,62.2,61.2,62.2
105/09/26,3290274,61.7,62.2,61.3,62.2
105/09/29,8886022,62.3,62.7,61.7,62.5
105/09/30,6764594,61.8,62.3,61.6,62
105/10/03,2791373,62,62,61.5,61.5
105/10/04,5592281,62,62.6,61.5,62.6
105/10/05,1549655,61.7,62.4,61.7,62.4
105/10/06,2706423,62.4,62.6,62.1,62.6
105/10/07,5003602,62.5,63,62.3,63
105/10/11,7971485,62.7,63.1,62.4,63
105/10/12,6269757,63,63.3,62.3,63.2
105/10/13,6872156,63.2,63.3,62.5,63.1
105/10/14,4254536,62.5,63.2,62.5,63.1
105/10/17,4918308,62.7,63.1,61.8,62.8
105/10/18,4851976,62.8,63.6,62.4,63.6
105/10/19,9324921,63.6,64.2,63.2,63.9
105/10/20,13400413,63.9,65.2,63.9,65
105/10/21,16397930,64.8,66,64,64.6
105/10/24,4465403,64.7,64.9,64.3,64.5
105/10/25,3276588,64.4,65,64.3,64.9
105/10/26,5695110,64.5,65.5,64.5,65.3
105/10/27,5597399,65.3,65.5,64.1,65.3
105/10/28,5106035,64.7,65.5,64.7,65.5
105/10/31,5905445,64.4,65.7,63.2,65.7
105/11/01,3146115,64.7,65.3,64.4,64.9
105/11/02,2894835,64.1,64.7,64.1,64.5
105/11/03,3229174,64.2,64.6,64,64
105/11/04,3568574,63.5,64.7,63.5,64.5
